Name,Role,Industry,Years_of_Experience,Notable_Projects,Genres,Style_Tags,Recent_Project_Count,Avg_Project_Rating,Awards_Count,Collaboration_Level,Demand_Score,Demand_Tier,Region,Estimated_Day_Rate_USD
Roger Deakins,Cinematographer,Hollywood,40,"1917, Skyfall, Sicario","Thriller, Adventure, War","Natural lighting, Silhouettes, High contrast",1,7.9,713,High,9.9,Premium,Global,6400
Emmanuel Lubezki,Cinematographer,Hollywood,30,"Gravity, Birdman, The Revenant","Western, Animation, Thriller","Long takes, Natural light, Immersive wide angles",1,7.5,725,High,9.5,Premium,Global,6200
Ravi K. Chandran,Cinematographer,Bollywood,30,"Dil Chahta Hai, Black, Ghajini","Comedy, Thriller, Romance","Stylized lighting, Vibrant colors, Cinematic framing",1,7.9,181,High,9.9,Premium,India,2800
Santosh Sivan,Cinematographer,Kollywood,35,"Roja, Dil Se, Asoka","Thriller, Biography, Romance","Ethereal, Soft focus, Culturally rooted",1,7.2,34,High,9.1,Premium,India,3200
Sudeep Chatterjee,Cinematographer,Bollywood,25,"Padmaavat, Bajirao Mastani, Gangubai Kathiawadi","Biography, War, History","Grand scale, Warm palette, Symmetry",2,7.4,367,High,9.2,Premium,India,3000
Rajiv Menon,Cinematographer,Kollywood,30,"Bombay, Guru, Kadal","Drama, Romance","Lush visuals, Rich colors, Character-focused",1,7.1,87,High,9.1,Premium,India,2800
Hoyte van Hoytema,Cinematographer,Hollywood,20,"Interstellar, Dunkirk, Oppenheimer","Adventure, Biography, Sci-Fi","IMAX format, Gritty realism, Striking contrast",2,8.2,1248,High,9.7,Premium,Global,6300
Greig Fraser,Cinematographer,Hollywood,15,"Dune, The Batman, Rogue One","Comedy, Adventure, Sci-Fi","Dark tones, High contrast, Texture-heavy",2,7.0,228,High,8.2,High,Global,4000
Rathnavelu,Cinematographer,Kollywood,25,"Enthiran, Rangasthalam, Indian 2","Drama, Thriller, Action","High gloss, Technically advanced, Vibrant",2,6.4,74,High,8.2,High,India,1700
K. K. Senthil Kumar,Cinematographer,Tollywood,20,"Baahubali: The Beginning, RRR, Magadheera","Drama, Adventure, Action","VFX-heavy, Epic scale, Dynamic framing",2,7.8,348,High,9.3,Premium,India,3300
P. C. Sreeram,Cinematographer,Kollywood,40,"Nayakan, Alaipayuthey, I","Adventure, Fantasy, Drama","Innovative lighting, Pioneer, Moody",1,7.5,110,High,9.5,Premium,India,3200
Tirru,Cinematographer,Kollywood,30,"Hey Ram, 24, Petta","Drama, Action, Crime","Edgy, Dynamic, Experimental lighting",1,7.8,321,High,9.8,Premium,India,2700
Manoj Paramahamsa,Cinematographer,Tollywood,15,"Ye Maaya Chesave, Leo, Radhe Shyam","Drama, Action, Crime","Sleek, Modern, VFX-integrated",3,6.7,27,High,7.5,High,India,2000
Anil Mehta,Cinematographer,Bollywood,25,"Lagaan, Rockstar, Highway","Sport, Music, Drama","Earthy tones, Realistic, Fluid camera",1,7.8,193,High,9.6,Premium,India,2700
Wally Pfister,Cinematographer,Hollywood,30,"Inception, The Dark Knight","Adventure, Sci-Fi, Drama","Classic lighting, Minimal CGI, Steadicam",1,8.9,714,Medium,10.0,Premium,Global,6400
Ravi Varman,Cinematographer,Kollywood,25,"Ponniyin Selvan: Part I, Barfi!, Dasavathaaram","Comedy, Adventure, Drama","Painting-like frames, Vibrant colors, Soft light",2,7.8,154,High,9.6,Premium,India,2800
Linus Sandgren,Cinematographer,Hollywood,20,"La La Land, No Time to Die, Babylon","Comedy, Thriller, Adventure","Colorful, Long takes, Expressive",3,7.5,889,High,9.0,Premium,Global,6600
Dan Laustsen,Cinematographer,Hollywood,40,"The Shape of Water, John Wick: Chapter 3","Romance, Fantasy, Drama","Stylized colors, Atmospheric, High contrast",1,7.3,539,Medium,9.3,Premium,Global,6300
Sreekar Prasad,Editor,Kollywood,40,"Firaaq, RRR","Thriller, Adventure, History","Seamless transitions, Rhythmic pacing, Multi-lingual",2,7.5,276,Medium,9.5,Premium,India,2800
Thelma Schoonmaker,Editor,Hollywood,55,"Goodfellas, The Departed, The Wolf of Wall Street","Comedy, Thriller, Biography","Energetic cuts, Freeze frames, Fast pacing",1,8.5,551,High,10.0,Premium,Global,5200
Namrata Rao,Editor,Bollywood,15,"Kahaani, Fan, Oye Lucky! Lucky Oye!","Comedy, Thriller, Drama","Tense pacing, Unconventional rhythm, Sharp",1,7.5,83,High,8.8,Premium,India,2300
Anthony,Editor,Kollywood,20,"Enthiran, Sivaji, Vada Chennai","Thriller, Sci-Fi, Drama","Hyper-kinetic, Stylish transitions, Mass appeal",1,7.7,77,High,9.2,Premium,India,2500
Lee Smith,Editor,Hollywood,30,"The Dark Knight, Inception, 1917","Adventure, War, Sci-Fi","Invisible editing, Temporal manipulation",1,8.7,1056,High,10.0,Premium,Global,5400
Aarti Bajaj,Editor,Bollywood,20,"Gangs of Wasseypur, Tamasha, Rockstar","Comedy, Music, Drama","Gritty cuts, Non-linear, Emotion-driven",1,7.8,203,High,9.3,Premium,India,2300
Nitin Baid,Editor,Bollywood,10,"Gully Boy, Masaan, Raazi","Thriller, Music, Romance","Realistic rhythm, Character-focused",1,7.9,280,High,8.9,Premium,India,2200
Ruben,Editor,Kollywood,12,"Theri, Mersal, Jawan","Drama, Thriller, Crime","Fast cuts, High energy, Teaser-style pacing",2,7.2,137,High,8.3,High,India,1400
Kotagiri Venkateswara Rao,Editor,Tollywood,40,"Baahubali: The Beginning, Eega, Magadheera","Drama, Action, Fantasy","VFX-sync, Epic pacing, Traditional narrative",1,7.8,168,High,9.8,Premium,India,2200
Margaret Sixel,Editor,Hollywood,25,"Mad Max: Fury Road, Happy Feet","Comedy, Animation, Adventure","Action-heavy, Precise continuity, Kinetic",1,7.2,532,Medium,8.9,Premium,Global,5400
Pietro Scalia,Editor,Hollywood,30,"Black Hawk Down, Gladiator, The Martian","Adventure, Sci-Fi, History","Tension building, Multi-cam assembly",1,8.1,467,High,10.0,Premium,Global,5200
Praveen K. L.,Editor,Kollywood,15,"Mankatha, Kabali, Chennai 600028","Comedy, Sport, Thriller","Sleek cuts, Modern rhythm, Non-linear",1,7.2,24,High,7.9,High,India,1800
Vivek Harshan,Editor,Mollywood,15,"Big B, Jigarthanda, Varathan","Comedy, Thriller, Drama","Stylized cuts, Trendy transitions, Pacing spikes",1,7.8,24,High,8.5,High,India,1800
Michael Kahn,Editor,Hollywood,50,"Schindler's List, Saving Private Ryan, Jurassic Park","Adventure, War, Biography","Classic Hollywood pacing, Emotional resonance",1,8.6,380,High,10.0,Premium,Global,5100
V. T. Vijayan,Editor,Kollywood,35,"Singam, Saamy, Dhool","Drama, Crime, Action","High BPM, Action-focused, Loud transitions",1,7.1,29,High,8.8,Premium,India,2600
